source_kml,features,skipped,errors
Aeródromo.kml,1,0,0
Area de APP - 01.kml,1,0,0
Area de APP - 02.kml,1,0,0
Area de APP - 03.kml,1,0,0
Area de APP - 04.kml,1,0,0
Area de APP - 05.kml,1,0,0
Area de APP - 06.kml,1,0,0
Area de APP - 07.kml,1,0,0
Area de APP - Recupera e Em Recuperação.kml,1,0,0
Area de Silos 01.kml,1,0,0
Area de Silos.kml,1,0,0
Area encravada.kml,1,0,0
Brejo - 01.kml,1,0,0
Brejo - 02.kml,2,0,0
Brejo - 03.kml,1,0,0
Brejo - 04.kml,1,0,0
Casa de Colono 01.kml,1,0,0
Casa de Colono 02.kml,1,0,0
Casa de Colono 03.kml,1,0,0
Casa de Colono 04.kml,1,0,0
Casa de Colono 05.kml,1,0,0
Casa de Colono 06.kml,1,0,0
Casa de Colono 07.kml,1,0,0
Casa de Colono 08.kml,1,0,0
Cercas.kmz,161,42,0
Confinamento 01 - em Atividade.kml,1,0,0
Confinamento 01 - Projetado.kml,1,0,0
Confinamento 02.kml,1,0,0
Curral  - Confinamento para Sequestro de Bezerros.kml,0,1,0
Curral 01.kml,1,0,0
Curral 02.kml,1,0,0
Curral 03.kml,1,0,0
Curral 04.kml,1,0,0
Curral 05.kml,1,0,0
Curral 06.kml,1,0,0
Curral 07.kml,1,0,0
Córrego - 01.kml,1,0,0
Córrego - 02.kml,1,0,0
Córrego - 03.kml,1,0,0
Córrego - 04.kml,1,0,0
Córrego - 05.kml,1,0,0
Escritorio Administrativo - Retiro da Serra Verde.kml,1,0,0
Estrada.kml,0,1,0
Fabrica De Ração.kml,1,0,0
Ferrovia.kml,2,0,0
Lagoa - 01.kml,1,0,0
Lagoa - 02.kml,1,0,0
Mata 01.kml,1,0,0
Mata 02.kml,1,0,0
Mata 03.kml,1,0,0
Mata 04.kml,1,0,0
Mata 05.kml,1,0,0
Mata 06.kml,1,0,0
Mata 07.kml,1,0,0
Mata 08.kml,1,0,0
Mata 09.kml,1,0,0
Mata 10.kml,1,0,0
Mata 100.kml,1,0,0
Mata 101.kml,1,0,0
Mata 102.kml,1,0,0
Mata 103.kml,1,0,0
Mata 104.kml,1,0,0
Mata 105.kml,1,0,0
Mata 106.kml,1,0,0
Mata 107.kml,1,0,0
Mata 108.kml,1,0,0
Mata 109.kml,1,0,0
Mata 11.kml,1,0,0
Mata 110.kml,1,0,0
Mata 111.kml,1,0,0
Mata 112.kml,1,0,0
Mata 113.kml,1,0,0
Mata 114.kml,1,0,0
Mata 115.kml,1,0,0
Mata 116.kml,1,0,0
Mata 117.kml,1,0,0
Mata 118.kml,1,0,0
Mata 119.kml,1,0,0
Mata 12.kml,1,0,0
Mata 122.kml,1,0,0
Mata 123.kml,1,0,0
Mata 124.kml,1,0,0
Mata 125.kml,1,0,0
Mata 126.kml,1,0,0
Mata 127.kml,1,0,0
Mata 128.kml,1,0,0
Mata 129.kml,1,0,0
Mata 13.kml,1,0,0
Mata 130.kml,1,0,0
Mata 131.kml,1,0,0
Mata 132.kml,1,0,0
Mata 133.kml,1,0,0
Mata 134.kml,1,0,0
Mata 135.kml,1,0,0
Mata 136.kml,1,0,0
Mata 137.kml,1,0,0
Mata 138.kml,1,0,0
Mata 139.kml,1,0,0
Mata 14.kml,1,0,0
Mata 140.kml,1,0,0
Mata 141.kml,1,0,0
Mata 142.kml,1,0,0
Mata 143.kml,1,0,0
Mata 144.kml,1,0,0
Mata 145.kml,1,0,0
Mata 146.kml,1,0,0
Mata 147.kml,1,0,0
Mata 148.kml,1,0,0
Mata 149.kml,1,0,0
Mata 15.kml,1,0,0
Mata 150.kml,1,0,0
Mata 151.kml,1,0,0
Mata 152.kml,1,0,0
Mata 153.kml,1,0,0
Mata 154.kml,1,0,0
Mata 155.kml,1,0,0
Mata 156.kml,1,0,0
Mata 16.kml,1,0,0
Mata 17.kml,1,0,0
Mata 18.kml,1,0,0
Mata 19.kml,1,0,0
Mata 20.kml,1,0,0
Mata 21.kml,1,0,0
Mata 22.kml,1,0,0
Mata 23.kml,1,0,0
Mata 24.kml,1,0,0
Mata 25.kml,1,0,0
Mata 26.kml,1,0,0
Mata 27.kml,1,0,0
Mata 28.kml,1,0,0
Mata 29.kml,1,0,0
Mata 30.kml,1,0,0
Mata 31.kml,1,0,0
Mata 32.kml,1,0,0
Mata 33.kml,1,0,0
Mata 34.kml,1,0,0
Mata 35.kml,1,0,0
Mata 36.kml,1,0,0
Mata 37.kml,1,0,0
Mata 38.kml,1,0,0
Mata 39.kml,1,0,0
Mata 40.kml,1,0,0
Mata 41.kml,1,0,0
Mata 42.kml,1,0,0
Mata 43.kml,1,0,0
Mata 44.kml,1,0,0
Mata 45.kml,1,0,0
Mata 46.kml,1,0,0
Mata 47.kml,1,0,0
Mata 48.kml,1,0,0
Mata 49.kml,1,0,0
Mata 50.kml,1,0,0
Mata 51.kml,1,0,0
Mata 52.kml,1,0,0
Mata 53.kml,1,0,0
Mata 54.kml,1,0,0
Mata 55.kml,1,0,0
Mata 56.kml,1,0,0
Mata 57.kml,1,0,0
Mata 58.kml,1,0,0
Mata 59.kml,1,0,0
Mata 60.kml,1,0,0
Mata 61.kml,1,0,0
Mata 62.kml,1,0,0
Mata 63.kml,1,0,0
Mata 64.kml,1,0,0
Mata 65.kml,1,0,0
Mata 66.kml,1,0,0
Mata 67.kml,1,0,0
Mata 68.kml,1,0,0
Mata 69.kml,1,0,0
Mata 70.kml,1,0,0
Mata 71.kml,1,0,0
Mata 72.kml,1,0,0
Mata 73.kml,1,0,0
Mata 74.kml,1,0,0
Mata 75.kml,1,0,0
Mata 76.kml,1,0,0
Mata 77.kml,1,0,0
Mata 78.kml,1,0,0
Mata 79.kml,1,0,0
Mata 80.kml,1,0,0
Mata 81.kml,1,0,0
Mata 82.kml,1,0,0
Mata 83.kml,1,0,0
Mata 84.kml,1,0,0
Mata 85.kml,1,0,0
Mata 86.kml,1,0,0
Mata 87.kml,1,0,0
Mata 88.kml,1,0,0
Mata 89.kml,1,0,0
Mata 90.kml,1,0,0
Mata 91.kml,1,0,0
Mata 92.kml,1,0,0
Mata 93.kml,1,0,0
Mata 94.kml,1,0,0
Mata 95.kml,1,0,0
Mata 96.kml,1,0,0
Mata 97.kml,1,0,0
Mata 98.kml,1,0,0
Mata 99.kml,1,0,0
Perimetro.kml,1,0,0
Pista de Vaqueijada.kml,1,0,0
"Pivô 1 - Agua Boa - 45,89 ha.kml",1,0,0
"Pivô 2 - Villa Canabrava - 52,77 ha.kml",1,0,0
"Pivô 3 - Villa Canabrava - 49,50 ha.kml",1,0,0
"Pivô 4 - Villa Canabrava - 12,50 ha.kml",1,0,0
"Pivô 6 - Villa Canabrava - 28,42 ha.kml",1,0,0
"Pivô 7 - Projetado - 46,28 ha.kml",1,0,0
"Pivô 8 - Projetado - 14,00 ha.kml",1,0,0
Poço Azul - Pivô 3 e 4.kml,1,0,0
Poço Lapa D`Água.kml,1,0,0
Poço P 1 - União.kml,1,0,0
Poço P 11 - Serra Verde.kml,1,0,0
Poço P 12 - Água Boa - Pivô 1.kml,1,0,0
Poço P 14 - Retiro da Serra Verde.kml,1,0,0
Poço P 18 - Retiro da União.kml,1,0,0
Poço P 2 - Agua Boa.kml,1,0,0
Poço P 2 - Serra Verde - Pivô 1.kml,1,0,0
Poço P 20 - União.kml,1,0,0
Poço P 26 - Sede.kml,1,0,0
Poço P 29 - Retiro da Boa Vista.kml,1,0,0
Poço P 3 - União.kml,1,0,0
Poço P 31 - Sede - Pivo 2.kml,1,0,0
Poço P 31 A - Sede - Pivô 6.kml,1,0,0
Poço P 35 - Retiro da União.kml,1,0,0
Poço P 38 - Retiro da União.kml,1,0,0
Poço P 5 - Boa Vista.kml,1,0,0
Poço P 5 - Paredão.kml,1,0,0
Poço P 7 - Boa Vista.kml,1,0,0
Poço P 8 - Retiro Água Boa.kml,1,0,0
Poço P 9 - Retiro da Serra Verde.kml,1,0,0
Poço Pasto P 21 - Sede.kml,1,0,0
Poço Sede Retiro União.kml,1,0,0
Poço Sede Villa - Haras.kml,1,0,0
RL 01.kml,1,0,0
RL 02.kml,1,0,0
RL 03.kml,1,0,0
RL 04.kml,1,0,0
RL 05.kml,1,0,0
RL 06.kml,1,0,0
RL 07.kml,1,0,0
RL 08.kml,1,0,0
RL 09.kml,2,0,0
RL 10.kml,1,0,0
RL 11.kml,1,0,0
RL 12.kml,1,0,0
RL 13.kml,1,0,0
RL 14.kml,1,0,0
RL 15.kml,1,0,0
Sede - Retiro União.kml,1,0,0
Sede - Villa Terezinha.kml,1,0,0
